event_id,title,category,starts_at,display_date,lifecycle,days_until,department,city,venue,address,is_free,price_from,price_to,price_label,status,confidence,source_count,image_url,video_url,url,ticket_urls
evt_8201c27f978f30,Película en cartelera de cine,cine,2026-09-14T12:30:00-04:00,Lunes 14 de septiembre · 12:30,finalizado,-3,Santa Cruz,Santa Cruz de la Sierra,Brasil - Cine Center,"Tercer anillo, Avenida Brasil esquina entrada a la Feria de Barrio Lindo",False,,,,programado,0.81,1,https://cdn.bolivia.com/cine/2026/9/codigo-venganza-47759.jpg,,https://www.bolivia.com/cine/santa-cruz/codigo-venganza-12252_43,
evt_b8b70a98b8601a,Película en cartelera de cine,cine,2026-09-14T12:35:00-04:00,Lunes 14 de septiembre · 12:35,finalizado,-3,Tarija,Tarija,Cine Center,Avenida Circunvalación s/n (barrio Guadalquivir),False,,,,programado,0.81,1,https://cdn.bolivia.com/cine/2026/5/la-odisea-47428.jpg,,https://www.bolivia.com/cine/tarija/la-odisea-12131_44,
evt_e53e510a6afa33,Película en cartelera de cine,cine,2026-09-14T13:10:00-04:00,Lunes 14 de septiembre · 13:10,finalizado,-3,Santa Cruz,Santa Cruz de la Sierra,Multicine,Las Brisas Shopping Mall (4º anillo y Av. Banzer),False,,,,programado,0.81,1,https://cdn.bolivia.com/cine/2026/8/coyote-vs-acme-47670.jpg,,https://www.bolivia.com/cine/santa-cruz/coyote-vs-acme-12215_43,
evt_a82bec26bac835,Película en cartelera de cine,cine,2026-09-14T13:50:00-04:00,Lunes 14 de septiembre · 13:50,finalizado,-3,La Paz,El Alto,Multicine,Av. Juan Pablo II - Zona Rio Seco,False,,,,programado,0.81,1,https://cdn.bolivia.com/cine/2026/8/coyote-vs-acme-47670.jpg,,https://www.bolivia.com/cine/el-alto/coyote-vs-acme-12215_87,
evt_5d35ce581b23e0,Película en cartelera de cine,cine,2026-09-14T18:30:00-04:00,Lunes 14 de septiembre · 18:30,finalizado,-3,Santa Cruz,Santa Cruz de la Sierra,Cinemark - Ventura - Cinemark,Ventura Mall - Av. San Martín esq. 4º anillo,False,,,,programado,0.81,1,https://cdn.bolivia.com/cine/2026/5/spider-man-un-nuevo-dia-47429.jpg,,https://www.bolivia.com/cine/santa-cruz/spider-man-un-nuevo-dia-12132_43,
evt_89855048a67bde,Agenda Dramaturgia Boliviana - Dramaturgia de la Percepción 15/10/2024 - 09:15 Cultural Ver más Balau: Taller de…,teatro,2026-09-14T21:15:00-04:00,Lunes 14 de septiembre · 21:15,finalizado,-3,Santa Cruz,Santa Cruz de la Sierra,Estadio Ramón Tahuichi Aguilera,esquina Oquendo 25/08/2024 - 19:00 Cultural Ver más Espectáculo de danza: Negr,False,,,,programado,0.81,1,https://www.lostiempos.com/sites/default/files/styles/noticia_home_tipo_2/public/agenda_cultural/imagen/whatsapp_image_2024-10-15_at_09.12.23_1.jpeg?itok=UmYLUCEu,,https://www.lostiempos.com/servicios/agenda-cultural,
evt_fbb72036092517,Agenda Dramaturgia Boliviana - Dramaturgia de la Percepción 15/10/2024 - 09:15 Cultural Ver más Balau: Taller de…,teatro,2026-09-14T21:15:00-04:00,Lunes 14 de septiembre · 21:15,finalizado,-3,Cochabamba,Cochabamba,mARTadero,esquina Oquendo 25/08/2024 - 19:00 Cultural Ver más Espectáculo de danza: Negr,False,5.0,200.0,Bs 5 - 200,programado,0.75,1,https://www.lostiempos.com/sites/default/files/styles/noticia_home_tipo_2/public/agenda_cultural/imagen/whatsapp_image_2024-10-15_at_09.12.23_1.jpeg?itok=UmYLUCEu,,https://www.lostiempos.com/servicios/agenda-cultural,
evt_1983438f057d00,24/08/2026 Cultura Cartelera: El festival de piano y la feria cultural japonesa atraen la atención La quinta edición…,cine,2026-09-14T22:00:00-04:00,Lunes 14 de septiembre · 22:00,finalizado,-3,Cochabamba,Quillacollo,estadio Capriles Tendencias Entre,,False,,,,programado,0.75,1,https://www.lostiempos.com/sites/default/files/styles/noticia_home_apertura/public/media_imagen/2026/8/24/pianistas.jpg?itok=aY39Eevx,,https://www.lostiempos.com/doble-click/cultura,
evt_a684185a7745c4,"Mañana entramos a la recta final del ciclo dedicado a uno de los más grandes representantes del cine boliviano, el…",cine,2026-09-15T00:00:00-04:00,Martes 15 de septiembre,finalizado,-2,La Paz,La Paz,,,False,,,,programado,0.69,1,,,https://www.facebook.com/cinemateca.bo/posts/pfbid02eQs1S63G8BR6wUDLazSTSWvThTGsiRqj37xWkckVPBQfBL2Mr9KT3GPzrH1UgvLl?__cft__[0]=AZhuZ4bqW89Nn0bjcdHHhIxwfk_wlCVvXCnXWT0EqhbzNhmn6vNaYmHixi303-npRtiyoDs3p2ME0BbMEw2kh59C7zXZ-wgLEuyR34hk1M_3azaXNQLlu6MDgGbdN3afx95TV0KzNANKrIx4p_lksT2-GiW2hSTmgoSXWFy0rY7jy-K66UcmzLbP9JI&__tn__=%2CO%2CP-R,
evt_f6237b1cabb2bc,Película en cartelera de cine,cine,2026-09-15T10:30:00-04:00,Martes 15 de septiembre · 10:30,finalizado,-2,Chuquisaca,Sucre,Cine SAS,c. Juan Jose Perez No. 331,False,,,,programado,0.68,1,https://cdn.bolivia.com/cine/2026/8/coyote-vs-acme-47670.jpg,,https://www.bolivia.com/cine/sucre/coyote-vs-acme-12215_147,
evt_5f8f3f21aedd61,Película en cartelera de cine,cine,2026-09-15T10:45:00-04:00,Martes 15 de septiembre · 10:45,finalizado,-2,La Paz,La Paz,Monje Campero,Av. 16 de Julio #1495,False,,,,programado,0.68,1,https://cdn.bolivia.com/cine/2026/8/coyote-vs-acme-47670.jpg,,https://www.bolivia.com/cine/la-paz/coyote-vs-acme-12215_41,
evt_40d4c90d648654,Película en cartelera de cine,cine,2026-09-15T12:00:00-04:00,Martes 15 de septiembre · 12:00,finalizado,-2,La Paz,La Paz,Plaza 21 Mall - Multicine,"Calle 21 de Calacoto, Pasaje Cordero",False,,,,programado,0.81,1,https://cdn.bolivia.com/cine/2026/8/coyote-vs-acme-47670.jpg,,https://www.bolivia.com/cine/la-paz/coyote-vs-acme-12215_41,
evt_4a37ae6ced90f1,Película en cartelera de cine,cine,2026-09-15T12:05:00-04:00,Martes 15 de septiembre · 12:05,finalizado,-2,La Paz,La Paz,Multicine,Av. Arce 2631,False,,,,programado,0.81,1,https://cdn.bolivia.com/cine/2026/8/coyote-vs-acme-47670.jpg,,https://www.bolivia.com/cine/la-paz/coyote-vs-acme-12215_41,
evt_5d0f05442de92e,Película en cartelera de cine,cine,2026-09-15T13:10:00-04:00,Martes 15 de septiembre · 13:10,finalizado,-2,Santa Cruz,Santa Cruz de la Sierra,Multicine,Las Brisas Shopping Mall (4º anillo y Av. Banzer),False,,,,programado,0.81,1,https://cdn.bolivia.com/cine/2026/8/coyote-vs-acme-47670.jpg,,https://www.bolivia.com/cine/santa-cruz/coyote-vs-acme-12215_43,
evt_a0e85b1ddbf050,Película en cartelera de cine,cine,2026-09-15T13:50:00-04:00,Martes 15 de septiembre · 13:50,finalizado,-2,La Paz,El Alto,Multicine,Av. Juan Pablo II - Zona Rio Seco,False,,,,programado,0.81,1,https://cdn.bolivia.com/cine/2026/8/coyote-vs-acme-47670.jpg,,https://www.bolivia.com/cine/el-alto/coyote-vs-acme-12215_87,
evt_6f32798d1517bc,Película en cartelera de cine,cine,2026-09-15T17:00:00-04:00,Martes 15 de septiembre · 17:00,finalizado,-2,Tarija,Tarija,Cine Center,Avenida Circunvalación s/n (barrio Guadalquivir),False,,,,programado,0.81,1,https://cdn.bolivia.com/cine/2026/8/coyote-vs-acme-47670.jpg,,https://www.bolivia.com/cine/tarija/coyote-vs-acme-12215_44,
evt_bb4662f66a1ac0,Película en cartelera de cine,cine,2026-09-15T17:20:00-04:00,Martes 15 de septiembre · 17:20,finalizado,-2,La Paz,La Paz,Cine Center (MegaCenter) - Cine Center,Av. Rafael Pabon Zona Irpavi frente al colegio Militar (Zona Sur),False,,,,programado,0.81,1,https://cdn.bolivia.com/cine/2026/9/codigo-venganza-47759.jpg,,https://www.bolivia.com/cine/la-paz/codigo-venganza-12252_41,
evt_fc30073face0de,Película en cartelera de cine,cine,2026-09-15T17:40:00-04:00,Martes 15 de septiembre · 17:40,finalizado,-2,Cochabamba,Cochabamba,Cine Center,Av. Ramón Rivero y puente de la Recoleta,False,,,,programado,0.81,1,https://cdn.bolivia.com/cine/2026/9/codigo-venganza-47759.jpg,,https://www.bolivia.com/cine/cochabamba/codigo-venganza-12252_42,
evt_683d66c78039b3,Película en cartelera de cine,cine,2026-09-15T17:40:00-04:00,Martes 15 de septiembre · 17:40,finalizado,-2,Santa Cruz,Santa Cruz de la Sierra,Trompillo - Cine Center,Avenida El Trompillo Segundo Anillo,False,,,,programado,0.81,2,https://cdn.bolivia.com/cine/2026/9/codigo-venganza-47759.jpg,,https://www.bolivia.com/cine/santa-cruz/codigo-venganza-12252_43,
evt_7949a0ef2d5e18,Película en cartelera de cine,cine,2026-09-15T18:30:00-04:00,Martes 15 de septiembre · 18:30,finalizado,-2,Cochabamba,Quillacollo,Cine Center,"Kilómetro 12, al lado de la Terminal de Buses",False,,,,programado,0.81,1,https://cdn.bolivia.com/cine/2026/5/spider-man-un-nuevo-dia-47429.jpg,,https://www.bolivia.com/cine/quillacollo/spider-man-un-nuevo-dia-12132_210,
evt_13af719f6ccf69,Película en cartelera de cine,cine,2026-09-15T18:30:00-04:00,Martes 15 de septiembre · 18:30,finalizado,-2,Santa Cruz,Santa Cruz de la Sierra,Brasil - Cine Center,"Tercer anillo, Avenida Brasil esquina entrada a la Feria de Barrio Lindo",False,,,,programado,0.81,1,https://cdn.bolivia.com/cine/2026/5/spider-man-un-nuevo-dia-47429.jpg,,https://www.bolivia.com/cine/santa-cruz/spider-man-un-nuevo-dia-12132_43,
evt_b85bfe19751280,Película en cartelera de cine,cine,2026-09-15T20:20:00-04:00,Martes 15 de septiembre · 20:20,finalizado,-2,Santa Cruz,Santa Cruz de la Sierra,Cinemark - Ventura - Cinemark,Ventura Mall - Av. San Martín esq. 4º anillo,False,,,,programado,0.81,1,https://cdn.bolivia.com/cine/2026/5/spider-man-un-nuevo-dia-47429.jpg,,https://www.bolivia.com/cine/santa-cruz/spider-man-un-nuevo-dia-12132_43,
evt_71fc8263fecc21,Cultura - Gobernación del Beni,feria,2026-09-16T00:00:00-04:00,Miércoles 16 de septiembre,finalizado,-1,Beni,Trinidad,,,False,,,,programado,0.61,1,https://beni.gob.bo/images/beni-og.jpg,,https://beni.gob.bo/category/cultura/,
evt_9bdf046a988d35,Película en cartelera de cine,cine,2026-09-16T10:30:00-04:00,Miércoles 16 de septiembre · 10:30,finalizado,-1,La Paz,La Paz,Multicine,Av. Arce 2631,False,,,,programado,0.81,1,https://cdn.bolivia.com/cine/2026/8/coyote-vs-acme-47670.jpg,,https://www.bolivia.com/cine/la-paz/coyote-vs-acme-12215_41,
evt_afe01d669f86b7,Película en cartelera de cine,cine,2026-09-16T10:30:00-04:00,Miércoles 16 de septiembre · 10:30,finalizado,-1,Chuquisaca,Sucre,Cine SAS,c. Juan Jose Perez No. 331,False,,,,programado,0.68,1,https://cdn.bolivia.com/cine/2026/8/coyote-vs-acme-47670.jpg,,https://www.bolivia.com/cine/sucre/coyote-vs-acme-12215_147,
evt_5d192c83160a0e,Película en cartelera de cine,cine,2026-09-16T10:40:00-04:00,Miércoles 16 de septiembre · 10:40,finalizado,-1,Cochabamba,Cochabamba,Cine Center,Av. Ramón Rivero y puente de la Recoleta,False,,,,programado,0.81,1,https://cdn.bolivia.com/cine/2026/9/codigo-venganza-47759.jpg,,https://www.bolivia.com/cine/cochabamba/codigo-venganza-12252_42,
evt_7b4a4fc999cf9a,Película en cartelera de cine,cine,2026-09-16T10:40:00-04:00,Miércoles 16 de septiembre · 10:40,finalizado,-1,Santa Cruz,Santa Cruz de la Sierra,Trompillo - Cine Center,Avenida El Trompillo Segundo Anillo,False,,,,programado,0.81,1,https://cdn.bolivia.com/cine/2026/9/codigo-venganza-47759.jpg,,https://www.bolivia.com/cine/santa-cruz/codigo-venganza-12252_43,
evt_b48e9056b5bfac,Película en cartelera de cine,cine,2026-09-16T10:45:00-04:00,Miércoles 16 de septiembre · 10:45,finalizado,-1,La Paz,La Paz,Monje Campero,Av. 16 de Julio #1495,False,,,,programado,0.68,1,https://cdn.bolivia.com/cine/2026/8/coyote-vs-acme-47670.jpg,,https://www.bolivia.com/cine/la-paz/coyote-vs-acme-12215_41,
evt_aeabd7d8db1508,Película en cartelera de cine,cine,2026-09-16T10:50:00-04:00,Miércoles 16 de septiembre · 10:50,finalizado,-1,La Paz,La Paz,Plaza 21 Mall - Multicine,"Calle 21 de Calacoto, Pasaje Cordero",False,,,,programado,0.81,1,https://cdn.bolivia.com/cine/2026/8/coyote-vs-acme-47670.jpg,,https://www.bolivia.com/cine/la-paz/coyote-vs-acme-12215_41,
evt_6ce747052715ee,Película en cartelera de cine,cine,2026-09-16T11:00:00-04:00,Miércoles 16 de septiembre · 11:00,finalizado,-1,Santa Cruz,Santa Cruz de la Sierra,Multicine,Las Brisas Shopping Mall (4º anillo y Av. Banzer),False,,,,programado,0.81,1,https://cdn.bolivia.com/cine/2026/8/coyote-vs-acme-47670.jpg,,https://www.bolivia.com/cine/santa-cruz/coyote-vs-acme-12215_43,
evt_1bba17b7715a62,Película en cartelera de cine,cine,2026-09-16T11:40:00-04:00,Miércoles 16 de septiembre · 11:40,finalizado,-1,La Paz,El Alto,Multicine,Av. Juan Pablo II - Zona Rio Seco,False,,,,programado,0.81,1,https://cdn.bolivia.com/cine/2026/8/coyote-vs-acme-47670.jpg,,https://www.bolivia.com/cine/el-alto/coyote-vs-acme-12215_87,
evt_6c0c3fd74915d7,Película en cartelera de cine,cine,2026-09-16T12:00:00-04:00,Miércoles 16 de septiembre · 12:00,finalizado,-1,Tarija,Tarija,Cine Center,Avenida Circunvalación s/n (barrio Guadalquivir),False,,,,programado,0.81,1,https://cdn.bolivia.com/cine/2026/8/coyote-vs-acme-47670.jpg,,https://www.bolivia.com/cine/tarija/coyote-vs-acme-12215_44,
